sentence,question,set_id,sent_type,quest_type,correct_answer,incorrect_answer,gp_noun,gp_verb,reduced_verb
The chef hired last month worked overtime.,Did the chef hire someone?,s1_1,reduced_relative_gp,gp_question,No,Yes,chef,hired,worked
The chef hired last month worked overtime.,Did the chef work overtime?,s1_2,reduced_relative_gp,simple_question,Yes,No,chef,hired,worked
The chef which was hired last month worked overtime.,Did the chef hire someone?,s1_3,reduced_relative_nongp,gp_question,No,Yes,chef,hired,worked
The chef which was hired last month worked overtime.,Did the chef work overtime?,s1_4,reduced_relative_nongp,simple_question,Yes,No,chef,hired,worked
The committee selected this morning met the candidates.,Did the committe select someone?,s2_1,reduced_relative_gp,gp_question,No,Yes,committee,selected,met
The committee selected this morning met the candidates.,Did the committe meet the candidates?,s2_2,reduced_relative_gp,simple_question,Yes,No,committee,selected,met
The committee which was selected this morning met the candidates.,Did the committe select someone?,s2_3,reduced_relative_nongp,gp_question,No,Yes,committee,selected,met
The committee which was selected this morning met the candidates.,Did the committe meet the candidates?,s2_4,reduced_relative_nongp,simple_question,Yes,No,committee,selected,met
The teachers praised in the review felt encouraged.,Did the teachers praise someone?,s3_1,reduced_relative_gp,gp_question,No,Yes,teachers,praised,felt
The teachers praised in the review felt encouraged.,Did the teachers feel encouraged?,s3_2,reduced_relative_gp,simple_question,Yes,No,teachers,praised,felt
The teachers which were praised in the review felt encouraged.,Did the teachers praise someone?,s3_3,reduced_relative_nongp,gp_question,No,Yes,teachers,praised,felt
The teachers which were praised in the review felt encouraged.,Did the teachers feel encouraged?,s3_4,reduced_relative_nongp,simple_question,Yes,No,teachers,praised,felt
The staff appointed last week started work.,Did the staff appoint someone?,s4_1,reduced_relative_gp,gp_question,No,Yes,staff,appointed,started
The staff appointed last week started work.,Did the staff start work?,s4_2,reduced_relative_gp,simple_question,Yes,No,staff,appointed,started
The staff which was appointed last week started work.,Did the staff appoint someone?,s4_3,reduced_relative_nongp,gp_question,No,Yes,staff,appointed,started
The staff which was appointed last week started work.,Did the staff start work?,s4_4,reduced_relative_nongp,simple_question,Yes,No,staff,appointed,started
The scientist nominated for the award gave a speech.,Did the scientist nominate someone?,s5_1,reduced_relative_gp,gp_question,No,Yes,scientist,nominated,gave
The scientist nominated for the award gave a speech.,Did the scientist give a speech?,s5_2,reduced_relative_gp,simple_question,Yes,No,scientist,nominated,gave
The scientist which was nominated for the award gave a speech.,Did the scientist nominate someone?,s5_3,reduced_relative_nongp,gp_question,No,Yes,scientist,nominated,gave
The scientist which was nominated for the award gave a speech.,Did the scientist give a speech?,s5_4,reduced_relative_nongp,simple_question,Yes,No,scientist,nominated,gave
The coach trained overseas shouted at its team.,Did the coach train someone?,s6_1,reduced_relative_gp,gp_question,No,Yes,coach,trained,shouted
The coach trained overseas shouted at its team.,Did the coach shout at its team?,s6_2,reduced_relative_gp,simple_question,Yes,No,coach,trained,shouted
The coach which was trained overseas shouted at its team.,Did the coach train someone?,s6_3,reduced_relative_nongp,gp_question,No,Yes,coach,trained,shouted
The coach which was trained overseas shouted at its team.,Did the coach shout at its team?,s6_4,reduced_relative_nongp,simple_question,Yes,No,coach,trained,shouted
The officers promoted this year attended the ceremony.,Did the officers promote someone?,s7_1,reduced_relative_gp,gp_question,No,Yes,officers,promoted,attended
The officers promoted this year attended the ceremony.,Did the officers attend the ceremony?,s7_2,reduced_relative_gp,simple_question,Yes,No,officers,promoted,attended
The officers which were promoted this year attended the ceremony.,Did the officers promote someone?,s7_3,reduced_relative_nongp,gp_question,No,Yes,officers,promoted,attended
The officers which were promoted this year attended the ceremony.,Did the officers attend the ceremony?,s7_4,reduced_relative_nongp,simple_question,Yes,No,officers,promoted,attended
The directors elected in 2020 resigned.,Did the directors elect someone?,s8_1,reduced_relative_gp,gp_question,No,Yes,directors,elected,resigned
The directors elected in 2020 resigned.,Did the directors resign?,s8_2,reduced_relative_gp,simple_question,Yes,No,directors,elected,resigned
The directors which were elected in 2020 resigned.,Did the directors elect someone?,s8_3,reduced_relative_nongp,gp_question,No,Yes,directors,elected,resigned
The directors which were elected in 2020 resigned.,Did the directors resign?,s8_4,reduced_relative_nongp,simple_question,Yes,No,directors,elected,resigned
The manager interviewed for the position seemed qualified.,Did the manager interview someone?,s9_1,reduced_relative_gp,gp_question,No,Yes,manager,interviewed,seemed
The manager interviewed for the position seemed qualified.,Did the manager seem qualified?,s9_2,reduced_relative_gp,simple_question,Yes,No,manager,interviewed,seemed
The manager which was interviewed for the position seemed qualified.,Did the manager interview someone?,s9_3,reduced_relative_nongp,gp_question,No,Yes,manager,interviewed,seemed
The manager which was interviewed for the position seemed qualified.,Did the manager seem qualified?,s9_4,reduced_relative_nongp,simple_question,Yes,No,manager,interviewed,seemed
The artists commissioned for the sculpture received awards.,Did the artists commission someone?,s10_1,reduced_relative_gp,gp_question,No,Yes,artists,commissioned,received
The artists commissioned for the sculpture received awards.,Did the artists receive awards?,s10_2,reduced_relative_gp,simple_question,Yes,No,artists,commissioned,received
The artists which were commissioned for the sculpture received awards.,Did the artists commission someone?,s10_3,reduced_relative_nongp,gp_question,No,Yes,artists,commissioned,received
The artists which were commissioned for the sculpture received awards.,Did the artists receive awards?,s10_4,reduced_relative_nongp,simple_question,Yes,No,artists,commissioned,received
The policemen dispatched yesterday found violations.,Did the policemen dispatch someone?,s11_1,reduced_relative_gp,gp_question,No,Yes,policemen,dispatched,found
The policemen dispatched yesterday found violations.,Did the policemen find violations?,s11_2,reduced_relative_gp,simple_question,Yes,No,policemen,dispatched,found
The policemen which were dispatched yesterday found violations.,Did the policemen dispatch someone?,s11_3,reduced_relative_nongp,gp_question,No,Yes,policemen,dispatched,found
The policemen which were dispatched yesterday found violations.,Did the policemen find violations?,s11_4,reduced_relative_nongp,simple_question,Yes,No,policemen,dispatched,found
The lawyer consulted for free gained experience.,Did the lawyer consult someone?,s12_1,reduced_relative_gp,gp_question,No,Yes,lawyer,consulted,gained
The lawyer consulted for free gained experience.,Did the lawyer gain experience?,s12_2,reduced_relative_gp,simple_question,Yes,No,lawyer,consulted,gained
