sentence,question,set_id,sent_type,quest_type,correct_answer,incorrect_answer
No head injury is too trivial to be ignored.,Can you ignore head injuries?,s1_1,depth_charge,complex_question,Yes,No
Every head injury is severe enough to be ignored.,Can you ignore head injuries?,s1_2,depth_charge_baseline,complex_question,Yes,No
No head injury is too trivial to be treated.,Can you ignore head injuries?,s1_3,inv_depth_charge,complex_question,No,Yes
Every head injury is severe enough to be treated.,Can you ignore head injuries?,s1_4,inv_depth_charge_baseline,complex_question,No,Yes
No detail is too minor to be overlooked.,Can you overlook details?,s2_1,depth_charge,complex_question,Yes,No
Every detail is important enough to be overlooked.,Can you overlook details?,s2_2,depth_charge_baseline,complex_question,Yes,No
No detail is too minor to be minded.,Can you overlook details?,s2_3,inv_depth_charge,complex_question,No,Yes
Every detail is important enough to be minded.,Can you overlook details?,s2_4,inv_depth_charge_baseline,complex_question,No,Yes
No question is too simple to be dismissed.,Can you dismiss questions?,s3_1,depth_charge,complex_question,Yes,No
Every question is complex enough to be dismissed.,Can you dismiss questions?,s3_2,depth_charge_baseline,complex_question,Yes,No
No question is too simple to be answered.,Can you dismiss questions?,s3_3,inv_depth_charge,complex_question,No,Yes
Every question is complex enough to be answered.,Can you dismiss questions?,s3_4,inv_depth_charge_baseline,complex_question,No,Yes
No error is too small to be disregarded.,Can you disregard an error?,s4_1,depth_charge,complex_question,Yes,No
Every error is large enough to be disregarded.,Can you disregard an error?,s4_2,depth_charge_baseline,complex_question,Yes,No
No error is too small to be heeded.,Can you disregard an error?,s4_3,inv_depth_charge,complex_question,No,Yes
Every error is large enough to be heeded.,Can you disregard an error?,s4_4,inv_depth_charge_baseline,complex_question,No,Yes
No concern is too insignificant to be quashed.,Can you quash concern?,s5_1,depth_charge,complex_question,Yes,No
Every concern is significant enough to be quashed.,Can you quash concern?,s5_2,depth_charge_baseline,complex_question,Yes,No
No concern is too insignificant to be validated.,Can you quash concern?,s5_3,inv_depth_charge,complex_question,No,Yes
Every concern is significant enough to be validated.,Can you quash concern?,s5_4,inv_depth_charge_baseline,complex_question,No,Yes
No risk is too small to be unadressed.,Can you not address risks?,s6_1,depth_charge,complex_question,Yes,No
Every risk is big enough to be unadressed.,Can you not address risks?,s6_2,depth_charge_baseline,complex_question,Yes,No
No risk is too small to be adressed.,Can you not address risks?,s6_3,inv_depth_charge,complex_question,No,Yes
Every risk is big enough to be adressed.,Can you not address risks?,s6_4,inv_depth_charge_baseline,complex_question,No,Yes
No task is too easy to be neglected.,Can you neglect tasks?,s7_1,depth_charge,complex_question,Yes,No
Every task is hard enough to be neglected.,Can you neglect tasks?,s7_2,depth_charge_baseline,complex_question,Yes,No
No task is too easy to be done.,Can you neglect tasks?,s7_3,inv_depth_charge,complex_question,No,Yes
Every task is hard enough to be done.,Can you neglect tasks?,s7_4,inv_depth_charge_baseline,complex_question,No,Yes
No symptom is too mild to be overlooked.,Can you overlook symptoms?,s8_1,depth_charge,complex_question,Yes,No
Every symptom is severe enough to be overlooked.,Can you overlook symptoms?,s8_2,depth_charge_baseline,complex_question,Yes,No
No symptom is too mild to be observed.,Can you overlook symptoms?,s8_3,inv_depth_charge,complex_question,No,Yes
Every symptom is severe enough to be observed.,Can you overlook symptoms?,s8_4,inv_depth_charge_baseline,complex_question,No,Yes
No complaint is too trivial to be put aside.,Can you put aside complaints?,s9_1,depth_charge,complex_question,Yes,No
Every complaint is serious enough to be put aside.,Can you put aside complaints?,s9_2,depth_charge_baseline,complex_question,Yes,No
No complaint is too trivial to be acted on.,Can you put aside complaints?,s9_3,inv_depth_charge,complex_question,No,Yes
Every complaint is serious enough to be acted on.,Can you put aside complaints?,s9_4,inv_depth_charge_baseline,complex_question,No,Yes
No warning is too faint to be discounted.,Can you discount warnings?,s10_1,depth_charge,complex_question,Yes,No
Every warning is clear enough to be discounted.,Can you discount warnings?,s10_2,depth_charge_baseline,complex_question,Yes,No
No warning is too faint to be accounted.,Can you discount warnings?,s10_3,inv_depth_charge,complex_question,No,Yes
Every warning is clear enough to be accounted.,Can you discount warnings?,s10_4,inv_depth_charge_baseline,complex_question,No,Yes
No opportunity is too slight to be skipped.,Can you skip opportunities?,s11_1,depth_charge,complex_question,Yes,No
Every opportunity is big enough to be skipped.,Can you skip opportunities?,s11_2,depth_charge_baseline,complex_question,Yes,No
No opportunity is too slight to be taken.,Can you skip opportunities?,s11_3,inv_depth_charge,complex_question,No,Yes
Every opportunity is big enough to be taken.,Can you skip opportunities?,s11_4,inv_depth_charge_baseline,complex_question,No,Yes
No act of kindness is too small to be minimized.,Can you minimize acts of kindness?,s12_1,depth_charge,complex_question,Yes,No
Every act of kindness is large enough to be minimized.,Can you minimize acts of kindness?,s12_2,depth_charge_baseline,complex_question,Yes,No
No act of kindness is too small to be celebrated.,Can you minimize acts of kindness?,s12_3,inv_depth_charge,complex_question,No,Yes
Every act of kindness is large enough to be celebrated.,Can you minimize acts of kindness?,s12_4,inv_depth_charge_baseline,complex_question,No,Yes
No effort is too minor to be omitted.,Can you omit efforts?,s13_1,depth_charge,complex_question,Yes,No
Every effort is major enough to be omitted.,Can you omit efforts?,s13_2,depth_charge_baseline,complex_question,Yes,No
No effort is too minor to be mentionned.,Can you omit efforts?,s13_3,inv_depth_charge,complex_question,No,Yes
Every effort is major enough to be mentionned.,Can you omit efforts?,s13_4,inv_depth_charge_baseline,complex_question,No,Yes
No idea is too unconventional to be abandoned.,Can you abandon idea?,s14_1,depth_charge,complex_question,Yes,No
Every idea is conventional enough to be abandoned.,Can you abandon idea?,s14_2,depth_charge_baseline,complex_question,Yes,No
No idea is too unconventional to be pursued.,Can you abandon idea?,s14_3,inv_depth_charge,complex_question,No,Yes
Every idea is conventional enough to be pursued.,Can you abandon idea?,s14_4,inv_depth_charge_baseline,complex_question,No,Yes
No contribution is too insignificant to be snubbed.,Can you snub contributions?,s15_1,depth_charge,complex_question,Yes,No
Every contribution is significant enough to be snubbed.,Can you snub contributions?,s15_2,depth_charge_baseline,complex_question,Yes,No
No contribution is too insignificant to be appreciated.,Can you snub contributions?,s15_3,inv_depth_charge,complex_question,No,Yes
Every contribution is significant enough to be appreciated.,Can you snub contributions?,s15_4,inv_depth_charge_baseline,complex_question,No,Yes
No suggestion is too outlandish to be forgotten.,Can you forget suggestions?,s16_1,depth_charge,complex_question,Yes,No
Every suggestion is ordinary enough to be forgotten.,Can you forget suggestions?,s16_2,depth_charge_baseline,complex_question,Yes,No
No suggestion is too outlandish to be remembered.,Can you forget suggestions?,s16_3,inv_depth_charge,complex_question,No,Yes
Every suggestion is ordinary enough to be remembered.,Can you forget suggestions?,s16_4,inv_depth_charge_baseline,complex_question,No,Yes
No gesture is too subtle to be waved off.,Can you wave off gestures?,s17_1,depth_charge,complex_question,Yes,No
Every gesture is obvious enough to be waved off.,Can you wave off gestures?,s17_2,depth_charge_baseline,complex_question,Yes,No
No gesture is too subtle to be accepted.,Can you wave off gestures?,s17_3,inv_depth_charge,complex_question,No,Yes
Every gesture is obvious enough to be accepted.,Can you wave off gestures?,s17_4,inv_depth_charge_baseline,complex_question,No,Yes
