sentence,question,set_id,sent_type,quest_type,correct_answer,incorrect_answer,gp_noun,gp_verb,reduced_verb
The student forgot the solution was in the back of the book.,Did the student forget the solution?,s1_1,nps_gp,gp_question,No,Yes,student,forgot,was
The student forgot the solution was in the back of the book.,Was the solution in the back of the book?,s1_2,nps_gp,simple_question,Yes,No,student,forgot,was
The student forgot that the solution was in the back of the book.,Did the student forget the solution?,s1_3,nps_nongp,gp_question,No,Yes,student,forgot,was
The student forgot that the solution was in the back of the book.,Was the solution in the back of the book?,s1_4,nps_nongp,simple_question,Yes,No,student,forgot,was
The chef remembered the recipe required two hours of cooking.,Did the chef remember the recipe?,s2_1,nps_gp,gp_question,No,Yes,chef,remembered,required
The chef remembered the recipe required two hours of cooking.,Did the recipe require two hours of cooking?,s2_2,nps_gp,simple_question,Yes,No,chef,remembered,required
The chef remembered that the recipe required two hours of cooking.,Did the chef remember the recipe?,s2_3,nps_nongp,gp_question,No,Yes,chef,remembered,required
The chef remembered that the recipe required two hours of cooking.,Did the recipe require two hours of cooking?,s2_4,nps_nongp,simple_question,Yes,No,chef,remembered,required
The coach discovered the player tried to show off all the time.,Did the coach discover the player?,s3_1,nps_gp,gp_question,No,Yes,coach,discovered,tried
The coach discovered the player tried to show off all the time.,Did the player try to show off all the time?,s3_2,nps_gp,simple_question,Yes,No,coach,discovered,tried
The coach discovered that the player tried to show off all the time.,Did the coach discover the player?,s3_3,nps_nongp,gp_question,No,Yes,coach,discovered,tried
The coach discovered that the player tried to show off all the time.,Did the player try to show off all the time?,s3_4,nps_nongp,simple_question,Yes,No,coach,discovered,tried
The student understood the question was too hard.,Did the student understand the question?,s4_1,nps_gp,gp_question,No,Yes,student,understood,was
The student understood the question was too hard.,Was the question too hard?,s4_2,nps_gp,simple_question,Yes,No,student,understood,was
The student understood that the question was too hard.,Did the student understand the question?,s4_3,nps_nongp,gp_question,No,Yes,student,understood,was
The student understood that the question was too hard.,Was the question too hard?,s4_4,nps_nongp,simple_question,Yes,No,student,understood,was
The musician heard the song was good.,Did the musician hear the song?,s5_1,nps_gp,gp_question,No,Yes,musician,heard,was
The musician heard the song was good.,Was the song good?,s5_2,nps_gp,simple_question,Yes,No,musician,heard,was
The musician heard that the song was good.,Did the musician hear the song?,s5_3,nps_nongp,gp_question,No,Yes,musician,heard,was
The musician heard that the song was good.,Was the song good?,s5_4,nps_nongp,simple_question,Yes,No,musician,heard,was
The reporter believed the story turned out problematic.,Did the reporter believe the story?,s6_1,nps_gp,gp_question,No,Yes,reporter,believed,turned
The reporter believed the story turned out problematic.,Did the story turn out problematic?,s6_2,nps_gp,simple_question,Yes,No,reporter,believed,turned
The reporter believed that the story turned out problematic.,Did the reporter believe the story?,s6_3,nps_nongp,gp_question,No,Yes,reporter,believed,turned
The reporter believed that the story turned out problematic.,Did the story turn out problematic?,s6_4,nps_nongp,simple_question,Yes,No,reporter,believed,turned
She recalled the conversation ended abruptly.,Did she recall the conversation?,s7_1,nps_gp,gp_question,No,Yes,she,recalled,ended
She recalled the conversation ended abruptly.,Did the conversation end abruplty?,s7_2,nps_gp,simple_question,Yes,No,she,recalled,ended
She recalled that the conversation ended abruptly.,Did she recall the conversation?,s7_3,nps_nongp,gp_question,No,Yes,she,recalled,ended
She recalled that the conversation ended abruptly.,Did the conversation end abruplty?,s7_4,nps_nongp,simple_question,Yes,No,she,recalled,ended
Tom noticed the murderer left town.,Did Tom notice the murderer?,s8_1,nps_gp,gp_question,No,Yes,Tom,noticed,left
Tom noticed the murderer left town.,Did the murderer leave town?,s8_2,nps_gp,simple_question,Yes,No,Tom,noticed,left
Tom noticed that the murderer left town.,Did Tom notice the murderer?,s8_3,nps_nongp,gp_question,No,Yes,Tom,noticed,left
Tom noticed that the murderer left town.,Did the murderer leave town?,s8_4,nps_nongp,simple_question,Yes,No,Tom,noticed,left
The policeman saw the lights were off.,Did the policeman see the lights?,s9_1,nps_gp,gp_question,No,Yes,policeman,saw,were
The policeman saw the lights were off.,Were the lights off?,s9_2,nps_gp,simple_question,Yes,No,policeman,saw,were
The policeman saw that the lights were off.,Did the policeman see the lights?,s9_3,nps_nongp,gp_question,No,Yes,policeman,saw,were
The policeman saw that the lights were off.,Were the lights off?,s9_4,nps_nongp,simple_question,Yes,No,policeman,saw,were
The journalist shared the scoop was fake.,Did the journalist share the scoop?,s10_1,nps_gp,gp_question,No,Yes,journalist,shared,was
The journalist shared the scoop was fake.,Was the scoop fake?,s10_2,nps_gp,simple_question,Yes,No,journalist,shared,was
The journalist shared that the scoop was fake.,Did the journalist share the scoop?,s10_3,nps_nongp,gp_question,No,Yes,journalist,shared,was
The journalist shared that the scoop was fake.,Was the scoop fake?,s10_4,nps_nongp,simple_question,Yes,No,journalist,shared,was
The manager noticed the report was overdue.,Did the manager notice the report?,s11_1,nps_gp,gp_question,No,Yes,manager,noticed,was
The manager noticed the report was overdue.,Was the report overdue?,s11_2,nps_gp,simple_question,Yes,No,manager,noticed,was
The manager noticed that the report was overdue.,Did the manager notice the report?,s11_3,nps_nongp,gp_question,No,Yes,manager,noticed,was
The manager noticed that the report was overdue.,Was the report overdue?,s11_4,nps_nongp,simple_question,Yes,No,manager,noticed,was
The art curator explained the painting sold for 4 million dollars.,Did the art curator explain the painting?,s12_1,nps_gp,gp_question,No,Yes,art curator,explained,sold
The art curator explained the painting sold for 4 million dollars.,Did the painting sell for 4 million dollars?,s12_2,nps_gp,simple_question,Yes,No,art curator,explained,sold
The art curator explained that the painting sold for 4 million dollars.,Did the art curator explain the painting?,s12_3,nps_nongp,gp_question,No,Yes,art curator,explained,sold
The art curator explained that the painting sold for 4 million dollars.,Did the painting sell for 4 million dollars?,s12_4,nps_nongp,simple_question,Yes,No,art curator,explained,sold
The driver knew the road was slippery.,Did the driver know the road?,s13_1,nps_gp,gp_question,No,Yes,driver,knew,was
The driver knew the road was slippery.,Was the road slippery?,s13_2,nps_gp,simple_question,Yes,No,driver,knew,was
The driver knew that the road was slippery.,Did the driver know the road?,s13_3,nps_nongp,gp_question,No,Yes,driver,knew,was
