,Unnamed: 0,sentence,question,set_id,sent_type,quest_type,correct_answer,incorrect_answer
0,0,While the secretary typed the memo neared completion.,Did the memo near completion?,set_10,GP_prob,simple_question,Yes,No
1,1,While the secretary typed the memo neared completion.,Did the secretary type the memo?,set_10,GP_prob,GP_question,No,Yes
4,4,The memo neared completion while the secretary typed.,Did the memo near completion?,set_10,nonGP_prob,simple_question,Yes,No
5,5,The memo neared completion while the secretary typed.,Did the secretary type the memo?,set_10,nonGP_prob,GP_question,No,Yes
8,8,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,set_11,GP_prob,simple_question,Yes,No
9,9,While the explorer paddled the canoe headed toward a waterfall.,Did the explorer paddle the canoe?,set_11,GP_prob,GP_question,No,Yes
12,12,The canoe headed toward a waterfall while the explorer paddled.,Did the canoe head toward a waterfall?,set_11,nonGP_prob,simple_question,Yes,No
13,13,The canoe headed toward a waterfall while the explorer paddled.,Did the explorer paddle the canoe?,set_11,nonGP_prob,GP_question,No,Yes
16,16,While the cowboy rode the horse sweated profusely.,Did the horse sweat profusely?,set_12,GP_prob,simple_question,Yes,No
17,17,While the cowboy rode the horse sweated profusely.,Did the cowboy ride the horse?,set_12,GP_prob,GP_question,No,Yes
20,20,The horse sweated profusely while the cowboy rode.,Did the horse sweat profusely?,set_12,nonGP_prob,simple_question,Yes,No
21,21,The horse sweated profusely while the cowboy rode.,Did the cowboy ride the horse?,set_12,nonGP_prob,GP_question,No,Yes
24,24,While Tom grilled the hot dog began to burn.,Did the hot dog begin to burn?,set_13,GP_prob,simple_question,Yes,No
25,25,While Tom grilled the hot dog began to burn.,Did Tom grill the hot dog?,set_13,GP_prob,GP_question,No,Yes
28,28,The hot dog began to burn while Tom grilled.,Did the hot dog begin to burn?,set_13,nonGP_prob,simple_question,Yes,No
29,29,The hot dog began to burn while Tom grilled.,Did Tom grill the hot dog?,set_13,nonGP_prob,GP_question,No,Yes
32,32,While the architect drew the building represented modern times style.,Did the building represent modern time style?,set_14,GP_prob,simple_question,Yes,No
33,33,While the architect drew the building represented modern times style.,Did the architect draw the building?,set_14,GP_prob,GP_question,No,Yes
36,36,The building represented modern times style while the architect drew.,Did the building represent modern time style?,set_14,nonGP_prob,simple_question,Yes,No
37,37,The building represented modern times style while the architect drew.,Did the architect draw the building?,set_14,nonGP_prob,GP_question,No,Yes
40,40,While the chef stirred the soup boiled over.,Did the soup boil over?,set_15,GP_prob,simple_question,Yes,No
41,41,While the chef stirred the soup boiled over.,Did the chef stir the soup?,set_15,GP_prob,GP_question,No,Yes
44,44,The soup boiled over while the chef stirred.,Did the soup boil over?,set_15,nonGP_prob,simple_question,Yes,No
45,45,The soup boiled over while the chef stirred.,Did the chef stir the soup?,set_15,nonGP_prob,GP_question,No,Yes
48,48,While the tourist explored the tunnel echoed with mysterious sounds.,Did the tunnel echo with mysterious sounds?,set_16,GP_prob,simple_question,Yes,No
49,49,While the tourist explored the tunnel echoed with mysterious sounds.,Did the tourist explore the tunnel?,set_16,GP_prob,GP_question,No,Yes
52,52,The tunnel echoed with mysterious sounds while the tourist explored.,Did the tunnel echo with mysterious sounds?,set_16,nonGP_prob,simple_question,Yes,No
53,53,The tunnel echoed with mysterious sounds while the tourist explored.,Did the tourist explore the tunnel?,set_16,nonGP_prob,GP_question,No,Yes
56,56,While the woman drank the water spilled on the floor.,Did the water spill on the floor?,set_17,GP_prob,simple_question,Yes,No
57,57,While the woman drank the water spilled on the floor.,Did the woman drink the water?,set_17,GP_prob,GP_question,No,Yes
60,60,The water spilled on the floor while the woman drank.,Did the water spill on the floor?,set_17,nonGP_prob,simple_question,Yes,No
61,61,The water spilled on the floor while the woman drank.,Did the woman drink the water?,set_17,nonGP_prob,GP_question,No,Yes
64,64,While the snake swallowed the frog kicked vigorously.,Did the frog kick vigorously?,set_18,GP_prob,simple_question,Yes,No
65,65,While the snake swallowed the frog kicked vigorously.,Did the snake swallow the frog?,set_18,GP_prob,GP_question,No,Yes
68,68,The frog kicked vigorously while the snake swallowed.,Did the frog kick vigorously?,set_18,nonGP_prob,simple_question,Yes,No
69,69,The frog kicked vigorously while the snake swallowed.,Did the snake swallow the frog?,set_18,nonGP_prob,GP_question,No,Yes
72,72,While the lion attacked the baboon screamed in terror.,Did the baboon scream in terror?,set_19,GP_prob,simple_question,Yes,No
73,73,While the lion attacked the baboon screamed in terror.,Did the lion attack the baboon?,set_19,GP_prob,GP_question,No,Yes
76,76,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,set_19,nonGP_prob,simple_question,Yes,No
77,77,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,set_19,nonGP_prob,GP_question,No,Yes
80,80,While the maid dusted the picture tipped over.,Did the picture tip over?,set_20,GP_prob,simple_question,Yes,No
81,81,While the maid dusted the picture tipped over.,Did the maid dust the picture?,set_20,GP_prob,GP_question,No,Yes
84,84,The picture tipped over while the maid dusted.,Did the picture tip over?,set_20,nonGP_prob,simple_question,Yes,No
85,85,The picture tipped over while the maid dusted.,Did the maid dust the picture?,set_20,nonGP_prob,GP_question,No,Yes
88,88,While the teacher counted the children formed a line.,Did the children form a line?,set_21,GP_prob,simple_question,Yes,No
89,89,While the teacher counted the children formed a line.,Did the teacher count the children?,set_21,GP_prob,GP_question,No,Yes
92,92,The children formed a line while the teacher counted.,Did the children form a line?,set_21,nonGP_prob,simple_question,Yes,No
93,93,The children formed a line while the teacher counted.,Did the teacher count the children?,set_21,nonGP_prob,GP_question,No,Yes
96,96,While the champion raced the challenger stumbled and fell.,Did the challenger stumble and fall?,set_22,GP_prob,simple_question,Yes,No
97,97,While the champion raced the challenger stumbled and fell.,Did the champion race the challenger?,set_22,GP_prob,GP_question,No,Yes
100,100,The challenger stumbled and fell while the champion raced.,Did the challenger stumble and fall?,set_22,nonGP_prob,simple_question,Yes,No
101,101,The challenger stumbled and fell while the champion raced.,Did the champion race the challenger?,set_22,nonGP_prob,GP_question,No,Yes
104,104,While Jerry played the violin went out of tune.,Did the violin go out of tune?,set_23,GP_prob,simple_question,Yes,No
105,105,While Jerry played the violin went out of tune.,Did Jerry play the violin?,set_23,GP_prob,GP_question,No,Yes
108,108,The violin went out of tune while jerry played.,Did the violin go out of tune?,set_23,nonGP_prob,simple_question,Yes,No
109,109,The violin went out of tune while jerry played.,Did Jerry play the violin?,set_23,nonGP_prob,GP_question,No,Yes
112,112,While the girl painted the rainbow slowly faded outside.,Did the rainbow slowly fade outside?,set_24,GP_prob,simple_question,Yes,No
113,113,While the girl painted the rainbow slowly faded outside.,Did the girl paint the rainbow?,set_24,GP_prob,GP_question,No,Yes
116,116,The rainbow slowly faded outside while the girl painted.,Did the rainbow slowly fade outside?,set_24,nonGP_prob,simple_question,Yes,No
117,117,The rainbow slowly faded outside while the girl painted.,Did the girl paint the rainbow?,set_24,nonGP_prob,GP_question,No,Yes
120,120,While Kendra parked the van bumped the curb.,Did the van bump the curb?,set_25,GP_prob,simple_question,Yes,No
