sentence,question,set_id,sent_type,quest_type,correct_answer,incorrect_answer
The man that the teacher that the student liked called sat.,Who did the student like?,s1_1,double_center_embedded,quest_deepest,The teacher,The man
The man that the teacher that the student liked called sat.,Who did the teacher call?,s1_2,double_center_embedded,quest_middle,The man,The student
The teacher that called the man that sat was liked by the student.,Who did the student like?,s1_3,nested_clause_embedded,quest_deepest,The teacher,The man
The teacher that called the man that sat was liked by the student.,Who did the teacher call?,s1_4,nested_clause_embedded,quest_middle,The man,The student
The student liked the teacher that called the man that sat.,Who did the student like?,s1_5,baseline_embedded,quest_deepest,The teacher,The man
The student liked the teacher that called the man that sat.,Who did the teacher call?,s1_6,baseline_embedded,quest_middle,The man,The student
The doctor that the nurse that the patient trusted praised arrived.,Who did the patient trust?,s2_1,double_center_embedded,quest_deepest,The nurse,The doctor
The doctor that the nurse that the patient trusted praised arrived.,Who did the nurse praise?,s2_2,double_center_embedded,quest_middle,The doctor,The patient
The nurse that praised the doctor that arrived was trusted by the patient.,Who did the patient trust?,s2_3,nested_clause_embedded,quest_deepest,The nurse,The doctor
The nurse that praised the doctor that arrived was trusted by the patient.,Who did the nurse praise?,s2_4,nested_clause_embedded,quest_middle,The doctor,The patient
The patient trusted the nurse that praised the doctor that arrived.,Who did the patient trust?,s2_5,baseline_embedded,quest_deepest,The nurse,The doctor
The patient trusted the nurse that praised the doctor that arrived.,Who did the nurse praise?,s2_6,baseline_embedded,quest_middle,The doctor,The patient
The neighbor that the parent that the child thanked invited waved.,Who did the child thank?,s3_1,double_center_embedded,quest_deepest,The parent,The neighbor
The neighbor that the parent that the child thanked invited waved.,Who did the parent invite?,s3_2,double_center_embedded,quest_middle,The neighbor,The child
The parent that invited the neighbor that waved was thanked by the child.,Who did the child thank?,s3_3,nested_clause_embedded,quest_deepest,The parent,The neighbor
The parent that invited the neighbor that waved was thanked by the child.,Who did the parent invite?,s3_4,nested_clause_embedded,quest_middle,The neighbor,The child
The child thanked the parent that invited the neighbor that waved.,Who did the child thank?,s3_5,baseline_embedded,quest_deepest,The parent,The neighbor
The child thanked the parent that invited the neighbor that waved.,Who did the parent invite?,s3_6,baseline_embedded,quest_middle,The neighbor,The child
The author that the editor that the reviewer praised interviewed smiled.,Who did the reviewer praise?,s4_1,double_center_embedded,quest_deepest,The editor,The author
The author that the editor that the reviewer praised interviewed smiled.,Who did the editor interview?,s4_2,double_center_embedded,quest_middle,The author,The reviewer
The editor that interviewed the author that smiled was praised by the reviewer.,Who did the reviewer praise?,s4_3,nested_clause_embedded,quest_deepest,The editor,The author
The editor that interviewed the author that smiled was praised by the reviewer.,Who did the editor interview?,s4_4,nested_clause_embedded,quest_middle,The author,The reviewer
The reviewer praised the editor that interviewed the author that smiled.,Who did the reviewer praise?,s4_5,baseline_embedded,quest_deepest,The editor,The author
The reviewer praised the editor that interviewed the author that smiled.,Who did the editor interview?,s4_6,baseline_embedded,quest_middle,The author,The reviewer
The scientist that the assistant that the intern admired warned laughed.,Who did the intern admire?,s5_1,double_center_embedded,quest_deepest,The assistant,The scientist
The scientist that the assistant that the intern admired warned laughed.,Who did the assistant warn?,s5_2,double_center_embedded,quest_middle,The scientist,The intern
The assistant that warned the scientist that laughed was admired by the intern.,Who did the intern admire?,s5_3,nested_clause_embedded,quest_deepest,The assistant,The scientist
The assistant that warned the scientist that laughed was admired by the intern.,Who did the assistant warn?,s5_4,nested_clause_embedded,quest_middle,The scientist,The intern
The intern admired the assistant that warned the scientist that laughed.,Who did the intern admire?,s5_5,baseline_embedded,quest_deepest,The assistant,The scientist
The intern admired the assistant that warned the scientist that laughed.,Who did the assistant warn?,s5_6,baseline_embedded,quest_middle,The scientist,The intern
The actor that the director that the critic praised hired performed.,Who did the critic praise?,s6_1,double_center_embedded,quest_deepest,The director,The actor
The actor that the director that the critic praised hired performed.,Who did the director hire?,s6_2,double_center_embedded,quest_middle,The actor,The critic
The director that hired the actor that performed was praised by the critic.,Who did the critic praise?,s6_3,nested_clause_embedded,quest_deepest,The director,The actor
The director that hired the actor that performed was praised by the critic.,Who did the director hire?,s6_4,nested_clause_embedded,quest_middle,The actor,The critic
The critic praised the director that hired the actor that performed.,Who did the critic praise?,s6_5,baseline_embedded,quest_deepest,The director,The actor
The critic praised the director that hired the actor that performed.,Who did the director hire?,s6_6,baseline_embedded,quest_middle,The actor,The critic
The chef that the waiter that the customer thanked helped cooked.,Who did the customer thank?,s7_1,double_center_embedded,quest_deepest,The waiter,The chef
The chef that the waiter that the customer thanked helped cooked.,Who did the waiter help?,s7_2,double_center_embedded,quest_middle,The chef,The customer
The waiter that helped the chef that cooked was thanked by the customer.,Who did the customer thank?,s7_3,nested_clause_embedded,quest_deepest,The waiter,The chef
